"@song-title","@song-title-english","@genre","@available-in-japanese","@available-in-global","@available-in-chinese","@normal-level","@normal-constant","@normal-newer","@hard-level","@hard-constant","@hard-newer","@expert-level","@expert-constant","@expert-newer","@inferno-level","@inferno-constant","@inferno-newer"
"ヒトガタ","Hitogata","ANIME/POP",true,,,"NORMAL 3",3.0,true,"HARD 9+",9.7,true,"EXPERT 12",12.6,true,"INFERNO 0",0.0,
"メニメニマニマニ","Many Many Money Money","ANIME/POP",true,,,"NORMAL 3",3.0,true,"HARD 7+",7.8,true,"EXPERT 12",12.3,true,"INFERNO 0",0.0,
"叩ケ 叩ケ 手ェ叩ケ","Tatake Tatake Te-tatake","ANIME/POP",true,,,"NORMAL 2",2.0,true,"HARD 7",7.3,true,"EXPERT 12",12.3,true,"INFERNO 13+",13.8,true
"Fly to NEW WORLD","","ANIME/POP",true,,,"NORMAL 3",3.0,true,"HARD 8",8.3,true,"EXPERT 12",12.2,true,"INFERNO 0",0.0,
"透明声彩","Toumei Seisai","ANIME/POP",true,,,"NORMAL 3",3.0,true,"HARD 7",7.6,true,"EXPERT 11+",11.8,true,"INFERNO 0",0.0,
"うっせぇわ","Ussee-wa","ANIME/POP",true,,,"NORMAL 3",3.0,true,"HARD 9",9.6,true,"EXPERT 12",12.2,true,"INFERNO 13",13.2,true
"Fam☆Fam☆Time!","","ANIME/POP",true,,,"NORMAL 3",3.0,true,"HARD 8",8.2,true,"EXPERT 11+",11.9,true,"INFERNO 0",0.0,
"cœur","coeur","ANIME/POP",true,,,"NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 12+",12.7,false,"INFERNO 0",0.0,
"私はNo 1！","Watashi wa No 1!","ANIME/POP",true,,,"NORMAL 3",3.0,false,"HARD 8",8.4,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"ソロモン・ナイト","Solomon Night","ANIME/POP",true,,,"NORMAL 3",3.0,false,"HARD 7+",7.8,false,"EXPERT 13",13.4,false,"INFERNO 0",0.0,
